Hand(hand='acdei', bid=355, type=1, og_hand='2456T')
Hand(hand='dddcd', bid=624, type=6, og_hand='55545')
Hand(hand='ddddb', bid=930, type=6, og_hand='55553')
Hand(hand='ddddi', bid=908, type=6, og_hand='5555T')
Hand(hand='ddfdd', bid=193, type=6, og_hand='55755')
Hand(hand='ddldd', bid=154, type=6, og_hand='55K55')
Hand(hand='deddd', bid=894, type=6, og_hand='56555')
Hand(hand='df1ff', bid=455, type=6, og_hand='57J77')
Hand(hand='diiii', bid=919, type=6, og_hand='5TTTT')
Hand(hand='dkddd', bid=262, type=6, og_hand='5Q555')
Hand(hand='dllll', bid=876, type=6, og_hand='5KKKK')
Hand(hand='dmmmm', bid=606, type=6, og_hand='5AAAA')
Hand(hand='e1bee', bid=730, type=6, og_hand='6J366')
Hand(hand='e1fff', bid=999, type=6, og_hand='6J777')
Hand(hand='ee11g', bid=978, type=6, og_hand='66JJ8')
Hand(hand='eeeae', bid=472, type=6, og_hand='66626')
Hand(hand='eeec1', bid=120, type=6, og_hand='6664J')
Hand(hand='eegee', bid=524, type=6, og_hand='66866')
Hand(hand='effff', bid=645, type=6, og_hand='67777')
Hand(hand='ehhhh', bid=778, type=6, og_hand='69999')
Hand(hand='emmmm', bid=299, type=6, og_hand='6AAAA')
Hand(hand='f1gff', bid=755, type=6, og_hand='7J877')
Hand(hand='fcccc', bid=45, type=6, og_hand='74444')
Hand(hand='feeee', bid=403, type=6, og_hand='76666')
Hand(hand='ff1cf', bid=799, type=6, og_hand='77J47')
Hand(hand='ff1hf', bid=790, type=6, og_hand='77J97')
Hand(hand='ffaff', bid=337, type=6, og_hand='77277')
Hand(hand='ffbff', bid=966, type=6, og_hand='77377')
Hand(hand='fff1a', bid=477, type=6, og_hand='777J2')
Hand(hand='fffhf', bid=546, type=6, og_hand='77797')
Hand(hand='fffkf', bid=646, type=6, og_hand='777Q7')
Hand(hand='fflff', bid=238, type=6, og_hand='77K77')
Hand(hand='fmmmm', bid=617, type=6, og_hand='7AAAA')
Hand(hand='g1ccc', bid=168, type=6, og_hand='8J444')
Hand(hand='g1ggf', bid=623, type=6, og_hand='8J887')
Hand(hand='gag1g', bid=974, type=6, og_hand='828J8')
Hand(hand='gbggg', bid=862, type=6, og_hand='83888')
Hand(hand='gdddd', bid=858, type=6, og_hand='85555')
Hand(hand='geggg', bid=364, type=6, og_hand='86888')
Hand(hand='gg1dg', bid=430, type=6, og_hand='88J58')
Hand(hand='ggagg', bid=257, type=6, og_hand='88288')
Hand(hand='ggdgg', bid=482, type=6, og_hand='88588')
Hand(hand='gge1g', bid=784, type=6, og_hand='886J8')
Hand(hand='ggggc', bid=695, type=6, og_hand='88884')
Hand(hand='gghgg', bid=665, type=6, og_hand='88988')
Hand(hand='gkggg', bid=921, type=6, og_hand='8Q888')
Hand(hand='gmmm1', bid=224, type=6, og_hand='8AAAJ')
Hand(hand='gmmmm', bid=756, type=6, og_hand='8AAAA')
Hand(hand='hd1dd', bid=775, type=6, og_hand='95J55')
Hand(hand='heee1', bid=103, type=6, og_hand='9666J')
Hand(hand='hh1fh', bid=341, type=6, og_hand='99J79')
Hand(hand='hhghh', bid=386, type=6, og_hand='99899')
Hand(hand='hhhhd', bid=346, type=6, og_hand='99995')
Hand(hand='hhhhk', bid=675, type=6, og_hand='9999Q')
Hand(hand='hhhhm', bid=441, type=6, og_hand='9999A')
Hand(hand='hiiii', bid=971, type=6, og_hand='9TTTT')
Hand(hand='hkkk1', bid=995, type=6, og_hand='9QQQJ')
Hand(hand='i1bi1', bid=586, type=6, og_hand='TJ3TJ')
Hand(hand='i1i1l', bid=476, type=6, og_hand='TJTJK')
Hand(hand='i1ibi', bid=214, type=6, og_hand='TJT3T')
Hand(hand='iccc1', bid=548, type=6, og_hand='T444J')
Hand(hand='iddd1', bid=795, type=6, og_hand='T555J')
Hand(hand='iicii', bid=663, type=6, og_hand='TT4TT')
Hand(hand='iiifi', bid=473, type=6, og_hand='TTT7T')
Hand(hand='ik1ii', bid=812, type=6, og_hand='TQJTT')
Hand(hand='illll', bid=859, type=6, og_hand='TKKKK')
Hand(hand='k1c1c', bid=77, type=6, og_hand='QJ4J4')
Hand(hand='k1ee1', bid=450, type=6, og_hand='QJ66J')
Hand(hand='kcc1c', bid=327, type=6, og_hand='Q44J4')
Hand(hand='kdkkk', bid=356, type=6, og_hand='Q5QQQ')
Hand(hand='keeee', bid=544, type=6, og_hand='Q6666')
Hand(hand='kkak1', bid=466, type=6, og_hand='QQ2QJ')
Hand(hand='kkekk', bid=234, type=6, og_hand='QQ6QQ')
Hand(hand='kkgkk', bid=55, type=6, og_hand='QQ8QQ')
Hand(hand='kkhkk', bid=60, type=6, og_hand='QQ9QQ')
Hand(hand='kkk1b', bid=326, type=6, og_hand='QQQJ3')
Hand(hand='kkk1g', bid=928, type=6, og_hand='QQQJ8')
Hand(hand='kkkak', bid=831, type=6, og_hand='QQQ2Q')
Hand(hand='kkkkc', bid=180, type=6, og_hand='QQQQ4')
Hand(hand='kkkki', bid=314, type=6, og_hand='QQQQT')
Hand(hand='klkkk', bid=523, type=6, og_hand='QKQQQ')
Hand(hand='l11bl', bid=137, type=6, og_hand='KJJ3K')
Hand(hand='l11ff', bid=123, type=6, og_hand='KJJ77')
Hand(hand='l1llk', bid=913, type=6, og_hand='KJKKQ')
Hand(hand='lclll', bid=16, type=6, og_hand='K4KKK')
Hand(hand='leeee', bid=739, type=6, og_hand='K6666')
Hand(hand='lg1ll', bid=134, type=6, og_hand='K8JKK')
Hand(hand='lhhhh', bid=51, type=6, og_hand='K9999')
Hand(hand='lld1l', bid=231, type=6, og_hand='KK5JK')
Hand(hand='lllgl', bid=129, type=6, og_hand='KKK8K')
Hand(hand='llllf', bid=998, type=6, og_hand='KKKK7')
Hand(hand='llllk', bid=781, type=6, og_hand='KKKKQ')
Hand(hand='m1ddd', bid=514, type=6, og_hand='AJ555')
Hand(hand='mffff', bid=372, type=6, og_hand='A7777')
Hand(hand='mkmmm', bid=174, type=6, og_hand='AQAAA')
Hand(hand='mm1ma', bid=871, type=6, og_hand='AAJA2')
Hand(hand='mmcmm', bid=320, type=6, og_hand='AA4AA')
Hand(hand='mmlmm', bid=475, type=6, og_hand='AAKAA')
Hand(hand='11111', bid=504, type=7, og_hand='JJJJJ')
Hand(hand='1111g', bid=102, type=7, og_hand='JJJJ8')
Hand(hand='1b1b1', bid=99, type=7, og_hand='J3J3J')
Hand(hand='1cccc', bid=932, type=7, og_hand='J4444')
Hand(hand='1e1e1', bid=772, type=7, og_hand='J6J6J')
Hand(hand='1hhhh', bid=770, type=7, og_hand='J9999')
Hand(hand='1l11l', bid=342, type=7, og_hand='JKJJK')
Hand(hand='aa1a1', bid=983, type=7, og_hand='22J2J')
Hand(hand='aaa1a', bid=333, type=7, og_hand='222J2')
Hand(hand='bb11b', bid=57, type=7, og_hand='33JJ3')
Hand(hand='bbb1b', bid=540, type=7, og_hand='333J3')
Hand(hand='cc11c', bid=853, type=7, og_hand='44JJ4')
Hand(hand='dd11d', bid=897, type=7, og_hand='55JJ5')
Hand(hand='dd1dd', bid=415, type=7, og_hand='55J55')
Hand(hand='ee11e', bid=729, type=7, og_hand='66JJ6')
Hand(hand='eee1e', bid=312, type=7, og_hand='666J6')
Hand(hand='f11ff', bid=576, type=7, og_hand='7JJ77')
Hand(hand='fff1f', bid=52, type=7, og_hand='777J7')
Hand(hand='gg11g', bid=595, type=7, og_hand='88JJ8')
Hand(hand='gg1gg', bid=328, type=7, og_hand='88J88')
Hand(hand='hh1h1', bid=590, type=7, og_hand='99J9J')
Hand(hand='i11ii', bid=708, type=7, og_hand='TJJTT')
Hand(hand='iii1i', bid=487, type=7, og_hand='TTTJT')
Hand(hand='k1k1k', bid=806, type=7, og_hand='QJQJQ')
Hand(hand='k1kkk', bid=281, type=7, og_hand='QJQQQ')
Hand(hand='l1l1l', bid=794, type=7, og_hand='KJKJK')
Hand(hand='ll1ll', bid=20, type=7, og_hand='KKJKK')
Hand(hand='mm111', bid=40, type=7, og_hand='AAJJJ')
Hand(hand='mmm1m', bid=699, type=7, og_hand='AAAJA')
